10/15/2022 22:03:35.596918 ./fileserver:     Creating C150NastyDgmSocket(nastiness=3)
10/15/2022 22:03:55.171263 ./fileserver:     C150NastyDgmSocket::read: delivering packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:03:55.171312 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:03:55.171375 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:03:55.171399 ./fileserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=412 |success.yDgmSocket::read: delivering packet of l..................b.....@.......)...........f0d. .b.|
10/15/2022 22:03:55.171427 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet.......y.\............y..\......f......v0]........................|
10/15/2022 22:03:55.171454 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet.......y.\............y..\......f......v0]........................|
10/15/2022 22:03:58.179243 ./fileserver:     C150DgmSocket::read: successful read with len=412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:03:58.179267 ./fileserver:     C150NastyDgmSocket::read: delivering packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:03:58.179319 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:03:58.179384 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:01.187314 ./fileserver:     C150DgmSocket::read: successful read with len=412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=-1 delayedPackets.e|
10/15/2022 22:04:01.187339 ./fileserver:     C150NastyDgmSocket::read: dropping packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=-1 delayedPackets.e|
10/15/2022 22:04:04.195328 ./fileserver:     C150DgmSocket::read: successful read with len=412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=-1 delayedPackets.e|
10/15/2022 22:04:04.195352 ./fileserver:     C150NastyDgmSocket::read: delivering packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=-1 delayedPackets.e|
10/15/2022 22:04:04.195403 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:04.195502 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:07.203215 ./fileserver:     C150DgmSocket::read: successful read with len=412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:04:07.203239 ./fileserver:     C150NastyDgmSocket::read: delivering packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:04:07.203292 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:07.203363 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:10.211266 ./fileserver:     C150DgmSocket::read: successful read with len=412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:04:10.211289 ./fileserver:     C150NastyDgmSocket::read: delivering packet of length 412 |success.yDgmSocket::read: preparing to check for delivering delayed packet state=0 delayedPackets.em|
10/15/2022 22:04:10.211340 ./fileserver:     C150DgmSocket::write: attempting to send packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
10/15/2022 22:04:10.211404 ./fileserver:     C150DgmSocket::write: Success writing packet with len=412 |re-sending the confirmation packet......................y..\......f......v0]........................|
